agency_id,state_name,region_name,agency_type_name
38614,California,West,Other State Agency
38616,California,West,Other State Agency
38620,California,West,Other State Agency
38622,California,West,Other State Agency
38624,California,West,Other State Agency
38626,California,West,Other State Agency
38628,California,West,Other State Agency
38634,California,West,Other State Agency
38636,California,West,Other State Agency
38638,California,West,Other State Agency
38640,California,West,Other State Agency
38642,California,West,Other State Agency
38644,California,West,Other State Agency
39483,California,West,University or College
39485,California,West,University or College
940,California,West,City
1017,California,West,Other
1029,California,West,County
954,California,West,Other
1109,California,West,City
1160,California,West,University or College
1086,California,West,City
1279,California,West,County
1206,California,West,City
1357,California,West,City
1229,California,West,City
1416,California,West,City
1682,California,West,Other
1704,California,West,County
1552,California,West,Other
1563,California,West,City
1616,California,West,Other
1785,California,West,County
1786,California,West,City
1787,California,West,City
1788,California,West,City
1790,California,West,City
1792,California,West,City
1797,California,West,City
1816,California,West,County
33874,California,West,State Police
34120,California,West,State Police
38608,California,West,Other State Agency
38612,California,West,Other State Agency
38618,California,West,Other State Agency
38632,California,West,Other State Agency
39932,California,West,Other State Agency
42882,California,West,University or College
18753,Texas,South,City
18895,Texas,South,County
18896,Texas,South,City
18897,Texas,South,City
18754,Texas,South,City
18899,Texas,South,County
18757,Texas,South,City
18900,Texas,South,City
18901,Texas,South,City
18903,Texas,South,County
18904,Texas,South,City
18906,Texas,South,County
18758,Texas,South,County
18759,Texas,South,City
18760,Texas,South,City
18761,Texas,South,City
18907,Texas,South,City
18762,Texas,South,City
18765,Texas,South,City
18766,Texas,South,City
18768,Texas,South,City
18770,Texas,South,County
18771,Texas,South,County
18772,Texas,South,City
18773,Texas,South,City
18908,Texas,South,City
18909,Texas,South,City
18774,Texas,South,City
18775,Texas,South,City
18776,Texas,South,County
18777,Texas,South,City
18778,Texas,South,City
18779,Texas,South,City
18781,Texas,South,County
18782,Texas,South,City
18783,Texas,South,County
18910,Texas,South,City
18911,Texas,South,City
18784,Texas,South,County
18912,Texas,South,City
18913,Texas,South,City
18914,Texas,South,City
18915,Texas,South,City
18785,Texas,South,City
18918,Texas,South,City
18786,Texas,South,City
18919,Texas,South,University or College
18787,Texas,South,City
18921,Texas,South,Other
18788,Texas,South,County
18789,Texas,South,City
18790,Texas,South,County
18923,Texas,South,City
18924,Texas,South,City
18925,Texas,South,County
18791,Texas,South,City
18926,Texas,South,City
18927,Texas,South,County
18928,Texas,South,City
18929,Texas,South,County
18930,Texas,South,City
18792,Texas,South,County
18931,Texas,South,City
18932,Texas,South,City
18933,Texas,South,City
18935,Texas,South,County
18936,Texas,South,City
18938,Texas,South,County
18794,Texas,South,City
18939,Texas,South,City
18940,Texas,South,Other
18941,Texas,South,County
18795,Texas,South,City
18942,Texas,South,City
18796,Texas,South,City
18943,Texas,South,City
18946,Texas,South,City
18947,Texas,South,County
18948,Texas,South,City
18949,Texas,South,County
18951,Texas,South,County
18953,Texas,South,County
18955,Texas,South,City
18956,Texas,South,City
18957,Texas,South,County
18959,Texas,South,City
18960,Texas,South,City
18961,Texas,South,City
18797,Texas,South,City
18798,Texas,South,City
18799,Texas,South,University or College
18800,Texas,South,City
18802,Texas,South,Other
18804,Texas,South,City
18806,Texas,South,County
18962,Texas,South,City
18807,Texas,South,City
18808,Texas,South,City
18809,Texas,South,City
18810,Texas,South,City
18963,Texas,South,City
18811,Texas,South,City
18812,Texas,South,City
18813,Texas,South,City
18814,Texas,South,City
18815,Texas,South,City
18816,Texas,South,City
18817,Texas,South,City
18818,Texas,South,City
18819,Texas,South,City
18820,Texas,South,City
18821,Texas,South,University or College
18822,Texas,South,University or College
18823,Texas,South,Other
18825,Texas,South,City
18826,Texas,South,City
18827,Texas,South,City
18964,Texas,South,City
18829,Texas,South,University or College
18832,Texas,South,City
18965,Texas,South,City
